state,district,college_name
Gujarat,Ahmedabad,"Institute of Science, Nirma University"
Gujarat,Amreli,KAMANI SCIENCE & PRATAPRAI ARTS COLLEGE-AMRELI
Gujarat,Bhavnagar,Shree J.C. Kumarappa Mahavidyalaya
Maharashtra,Solapur,SKN SINHAGAD COLLEG OF ENGINEERING KORTI TAL PANDHARPUR DIST-SOLAPUR
Telangana,Hyderabad,Institute of Computers and Business Management
Gujarat,Rajkot,PANCHSHIL COLLEGE OF EDUCATION (B.ED.)-RAJKOT
Gujarat,Bhavnagar,Shree J.C. Kumarappa B.S.W. College
Gujarat,Vadodara,Shree Mahalaxmiji Mahila Homeopathic Mediacal College
Maharashtra,Mumbai Suburban,New Heritage Education Trust Opp. Mansi Complex Near Silver Coin Restaurant Behind Shanti Ashram Bus Depot Eksar I.C.Colony Borivali (W) Mumbai 400
Gujarat,Anand,Sant Stifan Institute of Business Management and Technology
Gujarat,Bhavnagar,Shree Swami Sahajanand College of Commerce and Management
Gujarat,Rajkot,"GOVERNMENT ENGINEERING COLLEGE, RAJKOT"
Gujarat,Porbandar,"GOVERNMENT ARTS COLLEGE, RANAVAV"
Gujarat,Panch Mahals,Shri Sarvajanik College of Education
Karnataka,Bengaluru Urban,"Hasnath Evening College, No.52, Stations Road, Prazer Town, Bangalore-5"
Maharashtra,Amravati,"Arts college,Wadhona Ramnath,Tq: Nangaon (Kh.). Distt:- Amravati"
Gujarat,Navsari,"Government Science College, Chikhli"
Gujarat,Surat,S. R. Luthra Institute of Management (SFI)-First shift-SURAT.750
Gujarat,Amreli,"GAYATRI GURUKRUPA B.ED. COLLEGE, LATHI"
Maharashtra,Ahmadnagar,"Rayat Shikshan Sansthas Swami Sahajanand Bharati College of Education, Shrirampur, Dist. Ahmednagar 413709"
Maharashtra,Satara,"Venutai Chavan College, Vidyanagar, KARAD"
Maharashtra,Raigarh,Mangaon Taluka Education Societys Doshi Vakil Arts College and Goregaon Nagari Sahakari Bank Science & Commerce College At Goregaon Tal Mangaon Dist Raigad 402
Gujarat,Gandhinagar,Uma Arts & Nathiba Commerce Mahila College
Gujarat,Rajkot,N.H.RADADIYA ARTS & COMMERCE COLLEGE-JAMKANDORANA
Gujarat,Surat,The Mandvi Education Society B. C. A. College
Maharashtra,Mumbai,Smt. C.B. Shah Mahila Mahavidyalaya
Gujarat,Rajkot,"SHREE K.O. SHAH MUNI. ARTS & COMMERCE COLLEGE, DHORAJI"
Gujarat,Surat,The Mandvi Education Society B. B. A. College
Gujarat,Bhavnagar,Swami Vivekanand College of Computer Science
Gujarat,Surendranagar,Smt. Sadguna C.U.Shah Home Science and C.U.Shah Arts & Commerce Mahila College
Gujarat,Bhavnagar,L.R.Valia Arts and P.R.Mehta Commerce College
Gujarat,Rajkot,SARDAR PATEL KANYA KELVNI MANDAL B.ED.COLLEGE- JAMKANDORANA
Gujarat,Bharuch,Jay Jalaram Talimi Snatak Mahavidyalaya
Maharashtra,Nashik,"Mahatama Gandhi Vidyamandirs Arts,Science & Commerce College, Manmad, Dist.Nashik 423401"
Karnataka,Bengaluru Urban,"The Regency College of Education, No.51/1, AMS Layout, Vidyaranyapura,Bangalore-560 097."
Gujarat,Surendranagar,M.P. SHAH COMMERCE COLLEGE -SURENDRANAGAR
Gujarat,Surat,The Mandvi Education Society Science College
Gujarat,Sabarkantha,T M SHAH MAHILA ARTS COLLEGE IDAR
Gujarat,Sabarkantha,M. M. CHAUDHARI ARTS COLLEGE RAJENDRANAGAR
Maharashtra,Raigarh,Vidya Mandir Mandals Matoshree Sumati Chintamani Tipnis College of Arts & Commerce At Mamdapuir Neral Tal Karjat Dist Raigad 410
Gujarat,Panch Mahals,M. M. Gandhi Arts & Commerce College
Gujarat,Bhavnagar,SHRI UMIYA MAHILA ARTS AND COMMERCE COLLEGE
Gujarat,Bhavnagar,Kavishri Botadkar Arts and Commerce College
Telangana,Hyderabad,Mahila Dakshata Samithi Degree College for Women
Gujarat,Surendranagar,"PARANGAT B.ED. COLLEGE, HALVAD"
Gujarat,Bhavnagar,SHRI V M SAKARIYA MAHILA COMMERCE COLLEGE
Telangana,Hyderabad,Vahini Degree College
Gujarat,Sabarkantha,"EKTA TRUST SANCHALIT BCA COLLEGE, NAVIMETRAL"
Karnataka,Gadag,"Govt., First Grade College, Gadag"
Karnataka,Ramanagara,"DR H L THIMMEGOWDA COLLEGE OF PHARMACY, RAMANAGARA"
Gujarat,Mehsana,SMT A S CHAUDHRAY ARTS & HOME SCIENCE COLLEGE
Punjab,Amritsar,Punjab Institute of Technology
Gujarat,Vadodara,Sigma Institute of Physiotherapy
Gujarat,Vadodara,Mahila Mahavidyalaya
Karnataka,Bengaluru Urban,"Presidency College, No.33-2C, 33-2D, Kempapuara Hebbal, Bangalore-24"
Maharashtra,Pune,"Indapur Taluka Shikshan Prasarak Mandals, Bhigwan College of Arts, Bhigwan, Tal Indapur, Dist Pune"
Maharashtra,Kolhapur,"Dinkarrao K. Shinde College of Education, Kadgaon Road, Maruti Mal, GADHINGLAJ"
Karnataka,Bengaluru Urban,Acharya College of Nursing
Gujarat,Vadodara,"SIGMA INSTITUTE OF ENGG., BAKROL"
Maharashtra,Sangli,"College of Education, Hanumant Nagar, Sulkai Road , VITA."
Gujarat,Ahmedabad,"Institute of Pharmacy, Nirma University"
Maharashtra,Nagpur,"Geeta Education College, Jaytala"
Gujarat,Navsari,A. V. Patel Commerce College
Gujarat,Bharuch,Shri Rang Navchetan Science & Computer Institute
Maharashtra,Nanded,"Jawaharlal Nehru College of Social Work, Cidco, Nanded"
Karnataka,Kalaburagi,H K E S Degree College Aland
Karnataka,Belagavi,"GVP COLLEGE OF BUSINESS ADM.,, BELGAUM"
Madhya Pradesh,Balaghat,"Govt. Aranya Bharti College, Baihar, Balaghat"
Gujarat,Amreli,"GOVERNMENT ARTS AND COMMERCE COLLEGE, JAFRABAD"
Karnataka,Tumakuru,Shridevi Institute of paramedical sciences
Odisha,Ganjam,"Biswasroy Science College, Pattapur"
Karnataka,Bengaluru Urban,"Sir M.Vishveshwaraiah college, H.A.L , Bangalore-17"
Telangana,Rangareddy,SSJ Engineering College
Karnataka,Belagavi,GOMATESH VIDYAPEETH ARTS COLLEGE BELAGAVI
Karnataka,Belagavi,"GOMATESH VIDYAPEETH COLLEGE OF COMPUTER APPLICATION, BELGAUM"
Gujarat,Surat,Navyug Commerce College
Gujarat,Ahmedabad,Government Prosthetic & Orthotic College
Maharashtra,Satara,"College of Engineering, Survey No. 31, At/Post. Thakurki, Tal. Phaltan, Dist. Satara"
Gujarat,Mehsana,SHRI MAHARSHI DAYANAND SARASWATI BED COLLEGE
Gujarat,Mehsana,"Government Polytechnic,Vadnagar"
Gujarat,Mehsana,COLLEGE OF EDUCATION VADASMA
Kerala,Ernakulam,"Mar Baselios College of Nursing, Kothamangalam- 686"
Gujarat,Kheda,Secondary Teacher's Training College
Gujarat,Bhavnagar,SWAMI SAHAJANAND COLLEGE OF COMPUTER SCIENCE
Karnataka,Belagavi,GOMATESH VIDYAPEETH COMMERCE BELAGAVI
Karnataka,Ballari,"Jnanajyoti College of MSW, Bellary."
Gujarat,Vadodara,NUPUR NURSING COLLEGE
Maharashtra,Latur,"Bhai Kishanrao Deshmukh Senior College, Chakur"
Karnataka,Bidar,"M J P ARTS DEGREE COLLEGE NITTUR, BHALKI"
Gujarat,Kutch,Sheth Dosabhai Lalchand Law College
Gujarat,Mehsana,NILKANTH MED COLLEGE VISNAGAR
Gujarat,Patan,"GOVERNMENT ENGINEERING COLLEGE, PATAN"
Telangana,Hyderabad,"SYNERGY DEGREE COLLEGE, MAINAPALLY"
Gujarat,Ahmedabad,"Government Commerce College, Naroda"
Gujarat,Junagadh,"Balaji Insti. Of Eng. & Tech, Junagadh"
Gujarat,Amreli,"BAPA SITARAM SEVA TRUST ARTS COLLEGE, RAJULA"
Gujarat,Vadodara,JAWAHARLAL NEHRU HOMOEOPATHIC MEDICAL COLLEGE - LIMDA
Karnataka,Udupi,Canara College of Nursing
Gujarat,Vadodara,"BABARIA INSTITUTE OF TECHNOLOGY,VARNAMA,VADODARA"
Gujarat,Ahmedabad,"Suresh Brahmkumar Bhatt, College of Physiotherapy"
Maharashtra,Pune,"Gajanan Maharaj Shikshan Prasarak Mandals Sharadchandra Pawar College of Pharmacy,Pune"
Gujarat,Vadodara,Sigma Institute of Engineering (SFI) -Barrrol-Ta:Waghodiya Di:Vadodara.
Gujarat,Ahmedabad,"Institute of Management, Nirma University"
Maharashtra,Nagpur,"Adinath Shikshan College, Kamptee"
Gujarat,Vadodara,Balaji College of Computer Application
Himachal Pradesh,Kullu,"Vinayaka College Of Pharmacy, Kullu"
Maharashtra,Pune,"DR D Y PATIL EDUCATIONAL ACADEMYS DR D Y PATIL SCHOOL OF ENGINEERING ACADEMY, AMBI, TALEGAON, PUNE"
Tamil Nadu,Namakkal,"VIVEKANANDA DENAL COLLEGE FOR WOMEN (Inst. Code - 265), NAMAKKAL"
Gujarat,Kutch,Dada Dukhayal College of Education
Gujarat,Bhavnagar,Shree H.K. Parekh College of Management
Punjab,Sangrur,"Kabli Mal Ramji Dass Jain College for Women, Malerkotla"
Maharashtra,Mumbai,"Jaslok College of Nursing (B.Sc.), Mumbai"
Rajasthan,Hanumangarh,"Mohan Lal Sahewal Smriti Institution 4 B.K.K., Bhujarka"
Maharashtra,Nagpur,"Sri Balasaheb Tirpude College of Hotel Management and Catering Technology, Civil lines"
Gujarat,Vadodara,"Parul Institute of Engineering & Technology-MBA Programme (SFI),Waghodia."
Maharashtra,Dhule,"200064-A.R.A. COLLEGE OF PHARMACY, DHULE."
Gujarat,Gandhinagar,Saraswati B. Ed. College
Punjab,Shahid Bhagat Singh Nagar,Rayat Group of Institutions
West Bengal,Kolkata,B M Birla College of Nursing
Gujarat,Surendranagar,SHRI MAHAVIR B.ED.COLLEGE-DHANGADHRA
Gujarat,Surat,J. B. Dharukawal Mahila Arts College
Gujarat,Mehsana,"MERCHANT SCIENCE COLLEGE, VISNAGAR"
Maharashtra,Nanded,"Naigaon Education Society's College of Education, Nagigaon"
Gujarat,Junagadh,"SMT V.M. CHANDERA ARTS & B.S.W. COLLEGE, LOEJ"
Gujarat,Junagadh,SMT VMCHANDERA ARTS COLLEGE DIVARANA DHAR
Maharashtra,Mumbai Suburban,Siddhivinayak Shikshan Prasarak Mandals R B B.Ed. College Ram Nagar Rawate Compound Tembe Pada Road Bhandup (East) Mumbai 400
Assam,Jorhat,North East Institute of Management Science. P.O. Jorhat
Gujarat,Rajkot,"R.P.BHALODIYA COMMERCE, MANAGEMTNT & COMPUTER COLLEGE-RAJKOT"
